Question ID,Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Image
1718,Which of the following traits do archaea and bacteria share?,Multiple Choice,Composition of the cell wall,Lack of a nuclear envelope,Presence of plasma membrane,Composition of a cell wall and lack of a nuclear envelope,Lack of a nuclear envelope and presence of a plasma membrane,5,/static/images/q30.png
1719,Prokaryotes are classified as belonging to two different domains. What are the domains?,Multiple Choice,Bacteria and Eukarya,Archaea and Monera,Eukarya and Monera,Bacteria and Protista,Bacteria and Archaea,5,
1720,A water sample from a hot thermal vent contained a single-celled organism that had a cell wall but lacked a nucleus. What is its most likely classification?,Multiple Choice,Eukarya,Archaea,Animalia,Protista,Fungi,2,
1721,What organisms are most numerous on Earth?,Multiple Choice,Eukaryotes,Archaea,Prokaryotes,Plants,Insects,3,
1722,Which of the following describe all existing bacteria?,Multiple Choice,"Pathogenic, omnipresent, and morphologically diverse","Extremophiles, tiny, and abundant","Small, harmful, and fast-growing","Tiny, ubiquitous, and metabolically diverse","Morphologically diverse, metabolically diverse, and extremophiles",4,
1723,"To establish a link between a specific bacterium and a skin disease, researchers have shown that the bacterium was present in sick persons but not in healthy individuals. They isolated the bacterium in a pure culture and demonstrated that experimental healthy animals injected with this culture became sick. What other experiment do researchers need to perform to be absolutely sure that the bacterium is responsible for the disease?",Multiple Choice,Demonstrate that the bacterium belongs to the pathogenic lineage,Demonstrate that the bacterium is not able to live outside of humans or animals,Isolate bacterium from an infected sick animal and demonstrate that it is the same bacterium as the one used for infection,Isolate bacterium from an infected sick animal and demonstrate that it is susceptible to broad spectrum antibiotics,,3,
1724,"Chemicals, secreted by soil fungi, which inhibit the growth of bacteria, are known as _______.",Multiple Choice,antibodies,aflatoxins,hallucinogens,antigens,antibiotics,5,
1725,What is the goal of bioremediation?,Multiple Choice,To improve human health with the help of living organisms such as bacteria,To clean up areas polluted with toxic compounds by using living organisms such as bacteria,To improve soil quality for plant growth by using bacteria,To improve bacteria for production of useful chemicals,To kill pathogenic bacteria with the use of antibiotics,2,
1726,Some researchers have begun attempting to clean up oil spills by adding nonindigenous microbial hydrocarbon degraders to the spill... This is an example of _______.,Multiple Choice,bioremediation via fertilization,seeding,production of a new antibiotic,use of extremophiles for cleanup of organic solvents,,2,
1727,You need to identify the major type of bacteria living on the shower curtain in your bathroom and find out what they use as a food source. What is the most efficient method for answering this question?,Multiple Choice,Enrichment culture,Producing a molecular phylogeny,Direct sequencing,Enrichment culture and direct sequencing are equally efficient methods.,,1,
1728,Broad-spectrum antibiotics inhibit the growth of most intestinal bacteria. Consequently... a hospital patient who is receiving broad-spectrum antibiotics is most likely to become _______.,Multiple Choice,unable to fix carbon dioxide,antibiotic-resistant,unable to fix nitrogen,unable to synthesize peptidoglycan,deficient in certain vitamins and nutrients,5,
1729,Carl Woese and collaborators identified two major branches of prokaryotic evolution. What was the basis for dividing prokaryotes into two domains?,Multiple Choice,Microscopic examination of staining characteristics of the cell wall,Metabolic characteristics such as the production of methane gas,Metabolic characteristics such as chemoautotrophy and photosynthesis,Genetic characteristics such as ribosomal RNA sequences,Ecological characteristics such as the ability to survive in extreme environments,4,
1730,You might be interested to know how many different types of bacteria live on the shower curtain in your bathroom. What is the most efficient method for finding out?,Multiple Choice,Producing a molecular phylogeny,Enrichment culture,Direct sequencing,Enrichment culture and direct sequencing are equally efficient methods.,,3,
1731,Researchers isolated the first bacteria able to degrade TCA. They found that the bacteria use hydrogen as an electron donor TCA as an electron acceptor and acetate as a carbon source. Deduce the method used to isolate these bacteria.,Multiple Choice,Gram staining,Enrichment culture,Direct sequencing,Seeding,,2,
1732,Microbiologists use the Gram stain to aid in the identification of bacteria. What is the major difference between Gram-positive and Gram-negative bacteria?,Multiple Choice,Structure of nucleotides in the plasma membrane,Presence or absence of muramic acid in the cell wall,Presence or absence of peptidoglycan in the cell wall,Presence or absence of outer plasma membrane,,4,
1733,Biologists sometimes divide living organisms into two groups: autotrophs and heterotrophs. These two groups differ in _______.,Multiple Choice,their sources of energy,their electron acceptors,their mode of nutrition,the way that they generate ATP,,3,
1734,Imagine that you are given some chemoorganotrophic bacteria to grow. What should you use as a source of energy for this type of bacteria?,Multiple Choice,Light,Methane,Ammonia,Hydrogen sulfide,Sugar,5,
1735,A prokaryote that obtains energy and carbon as it decomposes dead organisms is a(n) _______.,Multiple Choice,autotroph,chemotroph,autotroph and phototroph,heterotroph and chemotroph,"autotroph, phototroph, and chemotroph",4,
1736,A prokaryote that obtains carbon and energy by ingesting prey is a(n) _______.,Multiple Choice,autotroph,chemotroph,autotroph and phototroph,heterotroph and chemotroph,"autotroph, phototroph, and chemotroph",4,
1737,A prokaryote that obtains energy from light is a(n) _______.,Multiple Choice,chemotroph,phototroph,autotroph and phototroph,heterotroph and chemotroph,"autotroph, phototroph, and chemotroph",2,
1738,Which of the following obtain energy by oxidizing inorganic substances to obtain energy that is used in part to fix carbon dioxide?,Multiple Choice,Photoautotrophs,Photoheterotrophs,Chemoautotrophs,Chemoheterotrophs that perform decomposition,Parasitic chemoheterotrophs,3,
1739,The purple nonsulfur bacterium Rhodospirillum grows best as a photoheterotroph. What are the most favorable sources of energy and carbon for this bacterium?,Multiple Choice,Methane and carbon dioxide,Fructose and light,Light and carbon dioxide,Glucose,,2,
1740,A newly discovered organism is found to use sulfide (S2-) for aerobic respiration and carbon dioxide (CO2) from the air as a source of carbon much like a plant. This organism must be a _______.,Multiple Choice,photoautotroph,chemoorganoautotroph,photoheterotroph,chemolithotrophic heterotroph,chemolithoautotroph,5,
1741,What kind of molecules serve as electron acceptors in cellular respiration?,Multiple Choice,Water,Polar molecules,Molecules with high potential energy,Molecules with low potential energy,Molecules in an excited state,4,
1742,When some bacteria use lactose as a source of energy they produce propionic acid and carbon dioxide. What is the name for this process?,Multiple Choice,Fermentation,Cellular respiration,Chemical synthesis,Photosynthesis,Carbon fixation,1,
1743,A biologist... provides several different substrates on which the bacteria can feed. Which of the following results would indicate that the species uses fermentation to produce ATP?,Multiple Choice,The bacteria utilize glucose and produce carbon dioxide as a by-product of respiration.,After the bacteria break down their substrate the biologist notices a rotten egg smell.,The biologist discovers that the bacteria are able to produce organic molecules by metabolizing methane.,After exposure to amino acids the bacteria produce a smell like rotting flesh.,,4,
1744,During cellular respiration some bacteria use methane (CH4) as an electron donor and oxygen (O2) as an electron acceptor. What is the name for this group of bacteria?,Multiple Choice,Methanogens,Methanotrophs,Organotrophs,Nitrifiers,,2,
1745,A bacterium was grown in two test tubes filled with media rich in glucose. One tube was sealed to produce anaerobic conditions and the other was not. If the bacterium is able to produce ATP only by aerobic respiration we expect lightening of media in _______.,Multiple Choice,the sealed tube only,the unsealed tube only,the sealed and unsealed tubes only,the control tube only,all three tubes,2,
1746,Which of the following extremophiles might researchers most likely use as a model for the earliest organisms on Earth?,Multiple Choice,A bacterium capable of living at extremely high salinity,A bacterium found on another planet or moon,An archaean capable of surviving in the polar ice caps,An anaerobic archaean species,A bacterium that thrives in a highly acidic environment,4,
1747,You acquire a soil sample and run an enrichment culture on it. You provide the organisms in the culture with all of the ingredients required for growth except for nitrogen. What result do you expect?,Multiple Choice,Nitrogen-fixing bacteria will significantly outnumber those incapable of fixing nitrogen,Nitrogen-fixing bacteria will not be present in the culture,Nitrogen-fixing bacteria will be present but not at significantly greater numbers than non-nitrogen-fixing species,Nitrogen-fixing bacteria will be present but will be significantly outnumbered by non-nitrogen-fixing species,,1,
1748,Multicellularity and large body size of eukaryotic organisms require high metabolic rates and efficient ATP production by aerobic respiration. How did bacteria change Earth’s atmosphere to enable aerobic respiration?,Multiple Choice,Oxygenic photosynthesis by cyanobacteria significantly increased the amount of oxygen in the atmosphere.,Splitting of water during anaerobic respiration by cyanobacteria dramatically increased the amount of oxygen in the atmosphere.,Nitrogen fixation by cyanobacteria decreased the amount of nitrogen in the atmosphere leading to the simultaneous increase of oxygen.,Anaerobic respiration by cyanobacteria increased the amount of oxygen in the atmosphere by reducing the amount of iron oxides...,,1,
1749,What is the characteristic feature of the Chlamydiales phylum?,Multiple Choice,Unusual flagella,Formation of colonies,Rod shape,Parasitic life cycle,,4,
1750,You run an osteology lab... you introduce insects and bacteria to remove all remaining flesh. Which bacteria would be the best purchase for your lab?,Multiple Choice,Spirochaetes,Actinobacteria,Chlamydiae,Cyanobacteria,Proteobacteria,2,
1751,You have found a new prokaryote. What line of evidence would support your hypothesis that the organism is a cyanobacterium?,Multiple Choice,It is able to form colonies and produce oxygen.,It is an endosymbiont.,It forms chains called mycelia.,You determine that it can cause Lyme disease.,It lacks cell walls.,1,
1752,Which of the following groups is characterized by unusual flagella contained within a structure called the outer sheath?,Multiple Choice,Spirochaetes/Spirochetes,Proteobacteria,Firmicutes,Chlamydiales,Euryarchaeota,1,
1753,Plantlike photosynthesis that releases oxygen (O2) occurs in _______.,Multiple Choice,cyanobacteria,chlamydias,archaea,actinomycetes,chemoautotrophic bacteria,1,
1754,Researchers have found a new type of bacteria and they want to determine its phylum. What would be the most reliable method to do so?,Multiple Choice,Conducting a Gram-stain test,Performing an analysis of metabolic pathways,Determining the ribosomal RNA sequence of the bacteria,Analyzing the morphological characteristics of the bacteria,,3,
1755,Which of the following lineages have members found in highly acidic environments?,Multiple Choice,Crenarchaeota (Eocytes) only,Euryarchaeota only,Thaumarchaeota only,Both Crenarchaeota (Eocytes) and Euryarchaeota,"Crenarchaeota (Eocytes), Euryarchaeota, and Thaumarchaeota",4,
1756,Members of the Euryarchaeota can be found in which habitat(s)?,Multiple Choice,Acidic hot springs only,Highly alkaline environments only,The human intestine only,Acidic hot springs and highly alkaline environments,"Acidic hot springs, highly alkaline environments, and the human intestine",5,
1757,What is the advantage of using rRNA over mRNA for the construction of phylogenetic trees?,Multiple Choice,There is no advantage per se; rRNA is more commonly used because it was the first method developed.,Only higher eukaryotes possess rRNA; therefore phylogenetic trees constructed from these sources are more accurate.,mRNA transcripts vary greatly as they are dependent upon the genome of the organism whereas rRNA is found in all organisms.,mRNA transcripts are too conserved among organisms and therefore cannot be used to construct phylogenies.,,3,
1758,In which of the following environments would one expect to find prokaryotes?,Multiple Choice,On the human body,The Great Salt Lake,Mount Saint Helens volcano,In fresh soil,All of these environments contain prokaryotes.,5,
1759,Tetanus is a bacterial infection... How do these bacteria survive in the inhospitable environment of a rusty nail?,Multiple Choice,Peptidoglycan-rich cell walls can be recycled as a fuel source.,The bacteria acquire mutations that permit survival in this environment.,The bacteria form endospores with no metabolic activity.,The bacteria convert to an anaerobic metabolic strategy.,,3,
1760,Bioremediation can be accomplished by adding nitrogen to a site contaminated by an oil spill. How does this occur?,Multiple Choice,Nitrogen can react with oil to form a new non-hazardous compound.,Nitrogen encourages the growth of prokaryotes that feed on oil.,Nitrogen is used as a fuel source by bacteria that degrade oil.,Nitrogen dilutes the oil to non-hazardous levels.,Addition of nitrogen cannot be used as a method of bioremediation.,2,
1761,A gut sample is the subject of a study to identify new bacteria. Which of the following molecules is most useful in a metagenomic approach?,Multiple Choice,Carbohydrates,DNA,Enzymes,Ribosomes,Antibodies,2,
1762,On which parts of a healthy human body is one likely to find a prokaryote-rich microbiome?,Multiple Choice,Mouth,Heart,Liver,Blood,Muscle,1,
1763,Genetic recombination in bacteria does NOT occur by which of the following mechanisms?,Multiple Choice,Transformation,Transduction,Conjugation,Meiosis,,4,
1764,Viral genes can be introduced into bacteria by which of the following mechanisms?,Multiple Choice,Transformation,Transduction,Plasmid transfer via conjugation,Recombination via conjugation,,2,
1765,Consider three species... Species A uses Iron as an electron acceptor. Species B uses Nitrate... Species C uses Oxygen... Which species will harvest the least amount of energy from a single molecule of glucose?,Multiple Choice,Species A,Species B,Species C,"Species A, B, and C will harvest the same amount of energy.",,1,
1766,What property of atmospheric nitrogen prevents eukaryotes from using this form of nitrogen in protein and nucleic acid synthesis?,Multiple Choice,Low abundance,Poor absorption,Instability of the N2 molecule,The strong triple bond between nitrogen atoms,Sequestering of the N2 molecule in the mitochondria for use as a final electron acceptor,4,
1767,Firmicutes are commonly found in the human gut. These bacteria are most likely to be _______.,Multiple Choice,chemotroph,phototroph,autotroph and phototroph,heterotroph and chemotroph,"autotroph, phototroph, and chemotroph",4,
1768,The protist lineage includes all eukaryotes EXCEPT _______.,Multiple Choice,"land plants, fungi, and archaea","fungi, archaea, and bacteria","animals, land plants, and fungi","archaea, bacteria, and animals","animals, land plants, and archaea",3,
1,What Organisms Are Most Numerous On Earth?,Multiple Choice,Eukaryotes,Archaea,Prokaryotes,Plants,Insects,3,
2,"To Establish A Link Between A Specific Bacterium And A Skin Disease, Researchers Have Shown That Bacterium Was Present In Sick Persons But Not In Healthy Individuals. They Isolated The Bacterium In A Pure Culture And Demonstrated That Experimental Healthy Animals Injected With This Culture Became Sick. What Other Experiment Do Researchers Need To Perform To Be Absolutely Sure That The Bacterium Is Responsible For The Disease?",Multiple Choice,Demonstrate That The Bacterium Belongs To The Pathogenic Lineage.,Demonstrate That The Bacterium Is Not Able To Live Outside Of Humans Or Animals.,Isolate Bacterium From An Infected Sick Animal And Demonstrate That It Is The Same Bacterium As The One Used For Infection.,Demonstrate All Of The Above.,No Experiments Need To Be Done Because There Are Enough Data To Establish That Skin Disease Is Caused By The Investigated Bacterium.,3,
3,What Do Bacteria Have In Common With Archaea But Not With Eukarya?,Multiple Choice,Unicellular Structure,Peptidoglycan Cell Walls,Transcription Mechanism Begins With Formylmethionine,Absence Of Nucleus,All Of The Above,4,
4,"While Examining A Rock Surface, You Have Discovered An Interesting New Organism. Which Of The Following Criteria Will Allow You To Classify The Organism As Belonging To Bacteria, But Not Archaea Or Eukarya?",Multiple Choice,It Is Unicellular.,Its Cell Walls Are Made Primarily Of Peptidoglycan.,The Organism Does Not Have Nucleus.,It Can Survive At A Temperature Over 100°C.,,2,
5,Which Of The Following Describe All Existing Bacteria?,Multiple Choice,"Pathogenic, Omnipresent, Morphologically Diverse","Extremophiles, Tiny, Abundant","Small, Harmful, Fast-Growing","Tiny, Ubiquitous, Metabolically Diverse",All Of The Above,4,
6,Multicellularity And Large Body Size Of Eukaryotic Organisms Requires High Metabolic Rates And Efficient ATP Production By Aerobic Respiration. How Did Bacteria Change Earth's Atmosphere To Enable Aerobic Respiration?,Multiple Choice,Oxygenic Photosynthesis By Cyanobacteria Significantly Increased The Amount Of Oxygen In The Atmosphere.,Splitting Of Water During Anaerobic Respiration By Cyanobacteria Dramatically Increased The Amount Of Oxygen In The Atmosphere.,Nitrogen Fixation By Cyanobacteria Decreased The Amount Of Nitrogen In The Atmosphere Leading To Simultaneous Increase Of Oxygen.,Anaerobic Respiration By Cyanobacteria Increased The Amount Of Oxygen In The Atmosphere By Reducing The Amount Of Iron Oxides That Are Able To React Instantly With Oxygen.,,1,
