Question ID,Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Image
7,"Use Of Synthetic Fertilizers Often Leads To The Contamination Of Groundwater With Nitrates. Nitrate Pollution Is Also A Suspected Cause Of Anoxic ""Dead Zones"" In The Ocean. Which Of The Following Might Help Reduce Nitrate Pollution?",Multiple Choice,Growing Improved Crop Plants That Have Nitrogen-Fixing Enzymes,Adding Nitrifying Bacteria To The Soil,Adding Denitrifying Bacteria To The Soil,Using Ammonia Instead Of Nitrate As A Fertilizer,All Of The Above,1,
8,Bacteria And Archaea Are Most Easily Distinguished From Each Other By Their,Multiple Choice,Chromosome Structure.,Habitat.,Transcription And Translation Mechanism.,Reproduction Method.,,3,
9,What Is The Goal Of Bioremediation?,Multiple Choice,Improve Human Health With The Help Of Living Organisms Such As Bacteria.,Clean Up Areas Polluted With Toxic Compounds By Using Bacteria.,Improve Soil Quality For Plant Growth By Using Bacteria.,Improve Bacteria For Production Of Useful Chemicals.,All Of The Above Are Correct.,2,
10,Starting In 1945 Escherichia Coli Became A Bacterium Of Choice To Study Basic Cellular Processes And Gene Function. What Specific Feature Of E. Coli Is Responsible For Its Rise To Prominence As A Model System?,Multiple Choice,Ability To Grow In Suspension Culture And On Agar Plates,Ability To Transfer A Copy Of A Plasmid From One Cell To Another,Very Fast Growth Rate,"The Fact That It Has Small, Circular DNA",,2,
11,You Have Decided To Grow E. Coli To Isolate A Specific Enzyme. For Your Experiment Which Of The Following Conditions Would Enable You To Grow A Maximum Amount Of Bacteria In The Shortest Time Possible?,Multiple Choice,Growing In Suspension Culture At 25°C,Growing On Agar Plates At 25°C,Growing In Suspension Culture At 37°C,Growing On Agar Plates At 37°C,"As Long As You Grow Bacteria At 25°C, It Does Not Matter If They Are Grown On Agar Plates Or In Suspension Culture.",3,
12,You Might Be Interested To Know How Many Different Types Of Bacteria Live On The Shower Curtain In Your Bathroom. What Is The Most Efficient Method For Answering This Question?,Multiple Choice,Enrichment Culture,Direct Sequencing,Enrichment Culture And Direct Sequencing Are Equally Efficient Methods.,,,2,
13,You Need To Identify The Major Type Of Bacteria Living On The Shower Curtain In Your Bathroom And Find Out What They Use As A Food Source. What Is The Most Efficient Method For Answering This Question?,Multiple Choice,Enrichment Culture,Direct Sequencing,Enrichment Culture And Direct Sequencing Are Equally Efficient Methods.,,,1,
14,Researchers Have Found A New Type Of Bacteria And They Want To Determine Its Phylum. What Would Be The Most Reliable Method To Do So?,Multiple Choice,Conduct A Gram-Stain Test.,Perform An Analysis Of Metabolic Pathways.,Determine The Ribosomal RNA Sequence Of The Bacteria.,Analyze The Morphological Characteristics Of The Bacteria.,,3,
15,Which Are Evolutionarily More Closely Related?,Multiple Choice,Bacteria And Archaea,Archaea And Eukarya,Bacteria And Eukarya,"Bacteria, Eukarya, And Archaea Are Equally Related To Each Other.",,2,
16,What Is The Right Progression Of Steps For A Direct-Sequencing Experiment?,Multiple Choice,"Lyse Cells, Purify DNA, Amplify Genes By PCR, And Insert Genes Into Plasmids.","Lyse Cells, Insert Genes Into Plasmid, Purify DNA, And Amplify Genes By PCR.","Lyse Cells, Insert Genes Into Plasmid, Amplify Genes By PCR, And Purify DNA.","Purify DNA, Amplify Genes By PCR, Lyse Cells, And Insert Genes Into Plasmid.",,1,
17,"An Organic Solvent Widely Used In Industrial Processes—1,1,1-Trichloroethane (TCA)—Is A Major Environmental Pollutant Affecting Human Health And Damaging The Ozone Layer. Recently, Researchers Isolated The First Bacteria Able To Degrade TCA. They Found That The Bacteria Use Hydrogen As An Electron Donor, TCA As Electron Acceptor, And Acetate As A Carbon Source. Based On The Preceding Information, Deduce The Method Used To Isolate These Bacteria.",Multiple Choice,Gram Staining,Enrichment Culture,Direct Sequencing,Seeding,,2,
18,Microbiologists Use The Gram Stain To Aid In Identification Of Bacteria. What Is The Major Difference Between Gram-Positive And Gram-Negative Bacteria?,Multiple Choice,Structure Of The Lipids In The Plasma Membrane,Presence Or Absence Of Muramic Acid In The Cell Wall,Presence Or Absence Of Peptidoglycan In The Cell Wall,Presence Or Absence Of Outer Membrane,,4,
19,Imagine That You Are Given Some Chemoorganotrophic Bacteria To Grow. What Should You Use As A Source Of Energy For This Type Of Bacteria?,Multiple Choice,Light,Methane,Ammonia,Sugar,Any Of The Above,4,
20,Biologists Sometimes Divide Living Organisms Into Two Groups: Autotrophs And Heterotrophs. How Do These Two Groups Differ?,Multiple Choice,They Use Different Sources Of Energy.,They Use Different Electron Acceptors.,They Use Different Sources Of Carbon.,They Differ In The Way They Generate ATP.,,3,
21,The Purple Non-Sulfur Bacterium Rhodospirillum Grows Best As A Photoheterotroph. What Are The Most Favorable Sources Of Energy And Carbon For This Bacterium?,Multiple Choice,Methane And CO2,Fructose And Light,Light And CO2,Glucose,,2,
22,Which Of The Following Can A Chemolithotrophic Bacteria Use As A Source Of Energy?,Multiple Choice,Light,Glucose,Water,Ammonia,,4,
23,Which Of The Following Is Correct?,Multiple Choice,"During Oxygenic Photosynthesis, Water Is Used As A Source Of Electrons; During Non-Oxygenic Photosynthesis, Hydrogen Sulfide Is Used As A Source Of Electrons.","During Oxygenic Photosynthesis, Hydrogen Sulfide Is Used As A Source Of Electrons; During Non-Oxygenic Photosynthesis, Water Is Used As A Source Of Electrons.","During Oxygenic Photosynthesis, Oxygen Is Used As A Source Of Electrons; During Non-Oxygenic Photosynthesis, Water Is Used As A Source Of Electrons.","During Oxygenic Photosynthesis, Oxygen Is Used As A Source Of Electrons; During Non-Oxygenic Photosynthesis, Hydrogen Sulfide Is Used As A Source Of Electrons.",,1,
24,What Is The Major Goal Of Cellular Respiration?,Multiple Choice,Reduce An Electron Acceptor Molecule,Supply Cell With Fixed Carbon,Produce ATP,Generate O2,All Of The Above Answers Apply.,3,
25,What Kind Of Molecules Serve As Electron Acceptors In Cellular Respiration?,Multiple Choice,Water,Polar Molecules,Molecules With High Potential Energy,Molecules With Low Potential Energy,Molecules In An Excited State,4,
26,"When Some Bacteria Use Lactose As A Source Of Energy, They Produce Propionic Acid And CO2. What Is The Name For This Process?",Multiple Choice,Fermentation,Cellular Respiration,Chemical Synthesis,Photosynthesis,Carbon Fixation,1,
27,Bacteria Participate In The Nitrogen Cycle Through Which Mechanism?,Multiple Choice,Nitrogen Fixation,Nitrification,Denitrification,Decomposition,All Of The Above,5,
28,During Cellular Respiration Some Bacteria Use CH4 As An Electron Donor And O2 As An Electron Acceptor. What Is The Name For This Group Of Bacteria?,Multiple Choice,Methanogens,Methanotrophs,Organotrophs,Nitrifiers,,2,
29,"A Bacterium Was Grown In Two Test Tubes Filled With Media Rich In Glucose. One Tube Was Sealed To Produce Anaerobic Conditions, And The Other Was Not. A Third Uninoculated, Unsealed Tube Was Used As A Control. Glucose Utilization By This Bacterium Causes Acid Production, Which Is Indicated By A Lightening Of The Media Color. If The Bacterium Is Able To Produce ATP Only By Respiration, Which Result Do You Expect To Receive?",Multiple Choice,Lightening Of Media In The Sealed Tube Only,Lightening Of Media In The Unsealed Tube Only,Lightening Of Media In The Sealed And Unsealed Tubes Only,Lightening Of Media In The Control Tube Only,Lightening Of Media In All Three Tubes,2,
30,Bacteria Able To Perform The NH4+ + NO2- -> N2 + 2H2O Reaction Have Been Discovered In Laboratory Bioreactors... Researchers Predicted That These Bacteria Should Exist In Oceans... At What Depth Would You Expect To Find The Bacteria?,Multiple Choice,In The Top 5 Meters,In The Top 50 Meters,At A Depth Of 75 Meters,At A Depth Of 92 Meters,Below 100 Meters,4,static/images/q30.png
31,What Is The Characteristic Feature Of The Chlamydiales Phylum?,Multiple Choice,Unusual Flagella,Formation Of Colonies,Rod Shape,Parasitic Life Cycle,All Of The Above,4,
32,What Do Nitrogen Fixation Genes And Antibiotic Resistance Genes Have In Common?,Multiple Choice,They Are Located On The Bacteria Chromosome.,They Spread By Lateral Gene Transfer.,They Exist Only In Parasitic Proteobacteria.,They Evolved Recently.,All Of The Above Answers Apply.,2,
33,What Experiment Can Distinguish Between High-GC Gram-Positive Bacteria And Low-GC Gram-Positive Bacteria?,Multiple Choice,Analysis Of Cell Shape,Gram-Staining Test,DNA Analysis,Analysis Of Metabolic Pathways,,3,
34,You Have Found A Prokaryote That Is Able To Form Colonies And Produce Oxygen. To What Lineage Does It Belong?,Multiple Choice,Cyanobacteria,Chlamydiales,Actinobacteria,Proteobacteria,Crenarchaeota,1,
35,Which Of The Following Groups Is Characterized By Unusual Flagella Contained Within A Structure Called The Outer Sheath?,Multiple Choice,Spirochaeles,Proteobacteria,Firmicutes,Chlamydiales,Euryarchaeota,1,
36,While Examining Soil From A Cornfield You Found A New Type Of Bacteria That Turns Purple When Treated With Gram Stain. What Lineage Might It Belong To?,Multiple Choice,Spirochaeles,Proteobacteria,Cyanobacteria,Firmicutes,Chlamydiales,4,
37,Which Of The Following Lineages Do Not Contain Bacteria That Are Photosynthetic?,Multiple Choice,Spirochaeles,Proteobacteria,Cyanobacteria,Actinobacteria,All Of The Above Can Perform Photosynthesis.,1,
38,Which Of The Following Statements Best Defines A Psychrophile?,Multiple Choice,A Micro-Organism Capable Of Living In Extremely Cold Environments.,A Micro-Organism Capable Of Living In Environments With An Extremely High Salt Concentration.,A Micro-Organism That Lives In An Environment With Moderate Temperatures.,A Micro-Organism Capable Of Living In Extremely Hot Environments.,,1,
1,Which Of The Following Protists Causes The Human Disease Malaria?,Multiple Choice,Giardia,Plasmodium,Trichomonas,Leishmania,,2,
2,Encouraging The Growth (Via Nutrient Fertilization) Of Photosynthetic Protists In Marine Environments May Help Reduce Global Warming. Why?,Multiple Choice,"Photosynthetic Protists Give Off A Lot Of Carbon Dioxide, And Fertilizing Them Would Increase Carbon Dioxide Levels In The Atmosphere.","Photosynthetic Protists Fix Atmospheric Carbon Dioxide, Decreasing Carbon Dioxide Levels In The Atmosphere.","Photosynthetic Protists Use A Lot Of Oxygen, And Fertilizing Them Would Decrease Oxygen Levels In The Environment.","Photosynthetic Protists Would Release A Lot Of Oxygen, And Fertilizing Them Would Increase Levels Of Oxygen In The Atmosphere.",,2,
Problem 1,What do some photosynthetic bacteria use as a source of electrons instead of water?,Multiple Choice,Oxygen (O2),Hydrogen sulfide (H2S),Organic compounds (e.g. CH3COO−),Nitrate (NO3-),,2,
Problem 2,What are organisms called that use inorganic compounds as electron donors in cellular respiration?,Multiple Choice,Phototrophs,Heterotrophs,Organotrophs,Lithotrophs,,4,
Problem 3,Unlike plant cell walls that contain cellulose bacterial cell walls are composed of ___________.,Fill-in-the-blank,Answer- Peptidoglycan,,,,,1,
Problem 5,What has metagenomic analysis allowed researchers to do for the first time?,Multiple Choice,sample organisms from an environment and grow them under defined conditions in the lab,isolate organisms from an environment and sequence their entire genome,study organisms that cannot be cultured (grown in the lab),identify important morphological differences among species,,3,
Problem 6,Biologists often use the term 'energy source' as a synonym for 'electron donor.' Why?,Short Answer,Biologists use these terms interchangeably because electron donors are molecules with high potential energy. During cellular respiration enzymes strip electrons from these organic molecules and transfer them to an electron transport chain; the energy released as these electrons move through the chain is used to generate ATP. Therefore the electron donor provides the potential energy required for the cell’s metabolic processes,,,,,1,
Problem 7,The text claims that the evolution of an oxygen-rich atmosphere paved the way for increasingly efficient cellular respiration and higher growth rates in organisms. Explain.,Short Answer,Oxygen is extremely electronegative making it a highly efficient electron acceptor. Cellular respiration using oxygen as the final electron acceptor releases significantly more energy than respiration using other substances (such as iron or nitrate). This increased energy yield allows cells to produce much more ATP for every electron donor oxidized supporting higher metabolic rates and faster growth,,,,,1,
Problem 9,Streptococcus mutans obtains energy by oxidizing sucrose... Propose a hypothesis to explain this observation and outline a study design.,Short Answer,"• Hypothesis: The abundance of Streptococcus mutans in the mouths of children is directly dependent on the availability of sucrose in their diet; therefore the high incidence of the bacterium in Western populations is caused by high dietary sucrose intake while its absence in East African populations is due to low sucrose intake.
• Study Design: Conduct an observational study comparing the daily sucrose consumption of children in both populations and correlating it with S. mutans counts. Alternatively design an experiment using enrichment cultures where S. mutans is grown in media with varying concentrations of sucrose to demonstrate that sucrose is a limiting factor for its growth",,,,,1,
Problem 10,Where would you go to look for bacteria that can metabolize benzene and how would you design an enrichment culture?,Short Answer,"• Location: You should look in soil or water samples from sites contaminated with organic solvents or toxic waste as natural selection would have favored the growth of organisms capable of degrading benzene in those environments.
• Enrichment Culture Design: Prepare a culture medium where benzene is the sole source of carbon and energy. Incubate the environmental samples under specific conditions (controlled temperature and lighting) that favor the growth of benzene-metabolizing species while inhibiting those that require other food sources",,,,,1,
Problem 11,What conclusions can be drawn regarding the impact of FMT from depressed individuals on behaviors associated with depression and anxiety in rats?,Short Answer,Rats that received a fecal microbiota transfer (FMT) from depressed human patients exhibited behaviors associated with depression such as a reduced preference for sucrose (anhedonia) and higher levels of anxiety evidenced by spending less time in the center of an open field compared to controls. This indicates that the composition of the gut microbiome can causally influence behaviors related to depression and anxiety.,,,,,1,
Problem 12,What conclusion can be drawn regarding the relationship between microbiome diversity and mental health in rats?,Short Answer,"Based on the results showing that rats in the ""Depression"" group (recipients of FMT from depressed patients) had significantly lower species richness than the ""Control"" group it can be concluded that lower microbiome diversity is associated with the presence of depression and anxiety-like behaviors. Conversely higher diversity appears linked to better mental health outcomes.",,,,,1,
Problem 13,Why was it important for the rats used in the study to be free of gut microbiota to begin with?,Short Answer,Using rats free of gut microbiota was essential to ensure that any observed changes in behavior or physiology were caused specifically by the transplanted microbiome from the human donors. This eliminated the possibility that pre-existing rat bacteria or interactions between resident and introduced species were responsible for the results.,,,,,1,
Problem 14,Which of the following is a structural difference between Paraprevotella and methicillin-resistant Staphylococcus aureus (MRSA)?,Multiple Choice,Paraprevotella contains a thick layer of peptidoglycan in its cell wall and MRSA lacks peptidoglycan.,The plasma membrane of Paraprevotella is surrounded by a cell wall that contains a relatively thin layer of peptidoglycan and an outer membrane and MRSA cells are surrounded by cell walls with a relatively thick layer of peptidoglycan.,Paraprevotella produces endospores but MRSA does not.,Paraprevotella lacks a plasma membrane but MRSA cells are surrounded by two plasma membranes.,,2,
Problem 15,Hypothesize how bacteria living in a person's gut might influence events occurring in the brain.,Short Answer,Bacteria in the gut may influence the brain by synthesizing essential molecules such as amino acids and vitamins which are critical for human physiology. Changes in the microbiome composition could alter the production of these chemical messengers or metabolites which then travel to the brain. Additionally the microbiome may modulate the immune system affecting inflammation levels that are linked to conditions like depression,,,,,1,
Problem 16,How might a healthy gut microbiome help improve mental health?,Short Answer,A healthy gut microbiome characterized by high species diversity and the presence of symbiotic prokaryotes plays a key role in maintaining human health. By producing necessary nutrients and regulating physiological processes (potentially including immune response and inflammation) a diverse and balanced microbiome may protect against the development of anxiety and depression as suggested by the correlation between high species richness and the absence of depressive behaviors in rats.,,,,,1,
Problem 4,"Evaluate these statements about Koch’s postulates which are used to establish a causative link between a specific microbe and a specific disease. 
Select True or False for each statement:
  The microbe must be present in individuals suffering from the disease and absent from healthy individuals.",True/False,TRUE,FALSE,,,,1,
Problem 4,"Evaluate these statements about Koch’s postulates which are used to establish a causative link between a specific microbe and a specific disease. 
Select True or False for each statement:
   The microbe must be isolated and grown in pure culture.",True/False,TRUE,FALSE,,,,1,
Problem 4,"Evaluate these statements about Koch’s postulates which are used to establish a causative link between a specific microbe and a specific disease. 
Select True or False for each statement :
  If organisms from the pure culture are injected into a healthy experimental animal the disease symptoms should appear.",True/False,TRUE,FALSE,,,,1,
Problem 4,"Evaluate these statements about Koch’s postulates which are used to establish a causative link between a specific microbe and a specific disease.
 Select True or False for each statement:
  The microbe does not have to be isolated from the experimental animal as long as the disease is present.",True/False,TRUE,FALSE,,,,2,
