Front,Back
The lineage defined as protists includes all eukaryotic organisms EXCEPT for which three groups?,"Animals, land plants, and fungi."
Why is the protist lineage categorized as a paraphyletic group rather than a monophyletic one?,"It includes a common ancestor but excludes some of its descendants, specifically land plants, fungi, and animals."
"Upon the initial bite of a human host by an infected mosquito, which specific cells do $Plasmodium$ cells first invade?",Human liver cells.
Protists from which taxonomic group are the primary cause of paralytic shellfish poisoning in humans?,Dinoflagellata.
What fundamental cellular characteristic is shared by all organisms classified as protists?,They are eukaryotic.
What is the primary reason protists and bacteria are classified into different domains?,"Protists possess a membrane-bounded nucleus, whereas bacterial cells lack one."
Which statement supports the claim that protists are paraphyletic regarding their defining characteristics?,There is no single set of synapomorphies that uniquely defines all protists.
"In phylogenetic terms, a trait that evolved in the most recent common ancestor of a monophyletic group is known as a(n) _____.",Synapomorphy
How can nutrient fertilization of photosynthetic protists in marine environments potentially reduce global warming?,"These protists fix atmospheric carbon dioxide, thereby decreasing its levels in the atmosphere."
What is the likely ecological outcome of adding a secondary consumer to an aquatic ecosystem?,A decrease in the population of primary consumers.
"Which major eukaryotic lineage contains many species that lack functional mitochondria, often living in low-oxygen environments?",Excavata.
Which monophyletic group of eukaryotic lineages is characterized by the synapomorphy of having two flagella?,"Bikonta (comprising Alveolata, Stramenopila, Rhizaria, Plantae, and Excavata)."
"In diatoms, what specific cellular structure is necessary for movement according to the study by Poulsen et al.?",Fully formed actin fibers.
"If a protist chloroplast is surrounded by three or four membranes, what does this indicate about its evolutionary origin?",The chloroplast was obtained via secondary endosymbiosis.
"In a changing environment infested with new pathogens, why are sexually reproducing protist species more likely to thrive than asexual ones?","Sexual reproduction generates genetic diversity, which increases the likelihood that some offspring can resist the pathogens."
Provide the correct sequence of events in the life cycle of a protist exhibiting alternation of generations.,Gametophyte $\rightarrow$ gamete $\rightarrow$ fusion $\rightarrow$ sporophyte $\rightarrow$ spore $\rightarrow$ gametophyte.
What is the most likely evolutionary explanation for the lack of mitochondria in some modern Excavates?,"Their ancestors possessed mitochondria, but these organelles were lost over time."
"According to endosymbiosis theory, why was it adaptive for a host cell to keep an engulfed bacterium alive rather than digesting it?",The engulfed bacterium provided the host cell with ATP produced via aerobic respiration.
The mitochondrial genome most closely resembles the genome of which specific group of organisms?,Bacteria (specifically proteobacteria).
Which characteristic of mitochondria supports the endosymbiotic theory regarding their replication?,"They replicate by fission, similar to bacterial cells."
From which ancestral group were chloroplasts originally derived?,Cyanobacteria.
"In the process of alternation of generations, which phase is diploid and responsible for producing spores?",The sporophyte.
"What structure provides internal support to Euglenoids, consisting of cross-linked microtubules located just under the plasma membrane?",A pellicle.
"An unknown protist is unicellular, lacks a cell wall, and moves via cytoplasmic streaming; to which group does it belong?",Amoebozoa.
Which protist group is effective at speeding the decay of dead organisms in aquatic environments?,Water molds (Oomycota).
What is the primary component of the protective wall plates found in dinoflagellates?,Cellulose.
"A unicellular, heterotrophic organism with two nuclei (one large, one small) and numerous short cytoplasmic extensions for motility is a(n) _____.",Ciliate
Which challenge is most critical for the day-to-day survival of individual diatoms with glass-like valves?,"Avoiding sinking into deep, poorly lit waters."
"Which group is characterized by amoeboid movement using long, slender pseudopodia and often possesses a calcium carbonate shell?",Foraminiferans.
What is the leading hypothesis for the origin of the eukaryotic nucleus?,It formed through the infolding of the plasma membrane.
Why is alternative splicing possible in eukaryotes but not in bacteria or archaea?,The spatial separation of transcription (in the nucleus) and translation (in the cytoplasm).
What modern technique has enabled the discovery of many new species of eukaryotic 'picoplankton'?,Direct sequencing of environmental samples.
The protist $Plasmodium$ is the causative agent of which major human disease?,Malaria.
Why is phytoplankton considered critical to human welfare even though humans rarely consume them directly?,They serve as the primary food source for marine organisms that humans do eat.
Which geological materials are considered 'carbon sinks' that can reduce atmospheric $\text{CO}_2$?,"Calcium carbonate, petroleum, and sedimentary rocks."
What evidence supports the conclusion that protist flagella and bacterial flagella evolved independently?,They differ significantly in protein structure and their underlying mechanism of movement.
"The dinoflagellate $Pfiesteria\ piscicida$, which feeds on algae and bacteria but is also photosynthetic, is classified as a(n) _____.","Mixotroph (or predator, primary producer, and detritivore)."
"In the context of the endosymbiosis theory, what did the host cell provide to the bacterium?","Protection and carbon compounds, specifically pyruvate."
Which eukaryotic lineage is defined by the presence of a 'feeding groove' used to ingest prey or organic debris?,Excavata.
What is the major distinguishing morphological feature of the Amoebozoa lineage?,"They lack cell walls and form large, lobose pseudopodia for movement."
Who are the most important primary producers in marine ecosystems?,Diatoms and other planktonic protists.
Is amoeboid motion common in protist species that possess rigid cell walls?,No (False).
What two proteins interact to facilitate amoeboid motion using ATP?,Actin and myosin.
Why is the nuclear envelope considered a synapomorphy that defines eukaryotes as a monophyletic group?,It is a unique morphological trait present in all eukaryotes but absent in all bacteria and archaea.
Why is the close relationship between mitochondrial DNA and $\alpha$-proteobacterial DNA strong evidence for endosymbiosis?,It confirms that mitochondria originated from an external bacterial source rather than through internal eukaryotic evolution.
Explain how the lineage Alveolata supports the claim that innovative feeding strategies drive diversification.,"The group includes diverse feeders such as photosynthetic dinoflagellates, parasitic apicomplexans, and predatory ciliates."
Why is the herbicide glyphosate being tested as a potential antimalarial drug?,"It targets enzymes in the apicoplast, a $Plasmodium$ organelle derived from chloroplasts, without harming human cells."
Why might increasing planktonic algae growth fail to naturally decrease $\text{CO}_2$ levels despite increased warming?,Algal growth is often limited by nutrients like iron rather than just temperature.
How does the slime mold $Physarum$ establish efficient paths between food sources?,"It explores the environment and then retracts from inefficient routes, leaving the shortest connections between nodes."
"In the process of alternation of generations, gametes are produced via the process of _____.",Mitosis
"In the process of alternation of generations, spores are produced via the process of _____.",Meiosis
What structure is characteristic of the foraminiferan test?,"An organic shell reinforced with calcium carbonate, often snail-like and porous."
Which group of protists is known for having glass-like cell walls made of silicon dioxide?,Diatoms.
What is the medical significance of the protist $Phytophthora\ infestans$?,It is the water mold responsible for the Irish potato famine.
What happens when human red blood cells infected with $Plasmodium$ daughter cells burst?,"It triggers malarial symptoms such as fever, chills, and fatigue."
What is the primary vector for the transmission of malaria to humans?,Mosquitoes (specifically $Anopheles$).
Why has it been difficult to develop a sustainable vaccine against malaria?,The $Plasmodium$ parasite evolves very quickly.
What is the ecological term for the rapid population growth of certain protists that can reach high densities and discolor the water?,Algal bloom.
What role do protists play in the marine carbon cycle when their dead cells sink to the ocean floor?,"They act as carbon sinks, sequestering carbon for long periods."
What unique flagellar feature is found in the reproductive cells of the species that caused the Irish potato famine?,"One of the two flagella has tiny, hollow, hairlike projections."
Lateral gene transfer from the endosymbiotic bacterium to the host cell nucleus resulted in mitochondrial genomes typically having fewer than _____ genes.,50
"In the context of life cycles, individuals that have two of each type of chromosome per cell are described as _____.",Diploid ($2n$)
What is the definition of a 'life cycle' in biology?,"The sequence of events that occur as individuals grow, mature, and reproduce."
Which specific life cycle stage in humans is haploid?,Gametes (sperm and egg).
Which term describes a life cycle where the multicellular stage is haploid?,Haploid-dominant.
Which term describes a life cycle where the multicellular stage is diploid?,Diploid-dominant.
What is 'alternation of generations'?,A life cycle involving independent multicellular haploid and diploid phases.
"In alternation of generations, the multicellular haploid form is called the _____.",Gametophyte
"In alternation of generations, the multicellular diploid form is called the _____.",Sporophyte
What is a spore in the context of protist reproduction?,A single haploid cell that divides mitotically to form a multicellular haploid gametophyte.
How do gametes differ from spores in an alternation of generations life cycle?,"Gametes must fuse to form a zygote, while spores can develop into an individual without fusion."
What is the role of the apicoplast in $Plasmodium$?,It is an organelle derived from a chloroplast that essential for the parasite's survival.
What is the primary method of asexual reproduction in most eukaryotes?,Mitotic cell division.
Why is multicellularity considered a significant innovation in the Eukarya domain?,It evolved multiple times independently and allows for increased complexity and size.
What distinguishes eukaryotic cell structure from that of bacteria and archaea regarding internal complexity?,"Eukaryotic cells are larger, have more organelles, and a much more extensive cytoskeleton."